sei_numero,status,cpr,upm,publico_previsto,natureza,evento,endereco,cidade,inicio,fim,local_caracteristica,transito,Coluna 14,latitude,longitude
00050-00006975/2023-60,ENC,6º CPR,9º BPM,100,JUNINA,FESTA JUNINA DA CAPELA SÃO LUIZ GONZAGA,GAMA - DF - ENTRE AS QUADRAS 13/15 - SETOR SUL,Gama,2023-06-18 19:00:00,2023-06-18 23:00:00,PRIF,,2023-06-07,,
00050-00007620/2023-98,ENC,6º CPR,26º BPM,200,JUNINA,"""CIRCUITO DISTRITO JUNINO""",Santa Maria - DF - Em Frente do Ginásio Poliesportivo - QC 01,Santa Maria,2023-06-21 18:00:00,2023-06-22 01:00:00,PUBA,,2023-06-27,,
00050-00007620/2023-98,ENC,6º CPR,26º BPM,200,JUNINA,"""CIRCUITO DISTRITO JUNINO""",Santa Maria - DF - Em Frente do Ginásio Poliesportivo - QC 01,Santa Maria,2023-06-22 18:00:00,2023-06-23 01:00:00,PUBA,,2023-06-27,,
00050-00007620/2023-98,ENC,6º CPR,26º BPM,200,JUNINA,"""CIRCUITO DISTRITO JUNINO""",Santa Maria - DF - Em Frente do Ginásio Poliesportivo - QC 01,Santa Maria,2023-06-23 18:00:00,2023-06-24 01:00:00,PUBA,,2023-06-27,,
00050-00006305/2023-43,ENC,6º CPR,26º BPM,200,JUNINA,FESTA JUNINA,SANTA MARIA/DF - CANTEIRO CENTRAL - RESIDENCIAL TOTAL VILLE,Santa Maria,2023-06-23 19:00:00,2023-06-24 01:00:00,PUBA,,2023-05-24,,
00050-00006957/2023-88,ENC,6º CPR,9º BPM,150,JUNINA,FESTA JUNINA DE SÃO JOÃO BATISTA,GAMA - DF - PRAÇA 01 - SETOR SUL,Gama,2023-06-23 19:00:00,2023-06-23 23:59:00,PUBA,,2023-06-06,,
00400-00039127/2023-38,ENC,6º CPR,27º BPM,250,JUNINA,"2ª EDIÇÃO DO EVENTO ""VEM PRA PRAÇA JUNINO""","CEU DAS ARTES DO RECANTO DAS EMAS, LOCALIZADA NA AVENIDA RECANTO DAS EMAS, QUADRA 113, LOTE 9",Recanto das Emas,2023-06-24 09:00:00,2023-06-24 13:00:00,,,2023-06-22,,
00080-00119434/2023-99,ENC,6º CPR,9º BPM,600,JUNINA/ESCOLA,FESTA JUNINA - CEE 01,EQ 17/27- ÁREA ESPECIAL- SETOR OESTE GAMA,Gama,2023-06-24 10:00:00,2023-06-24 15:00:00,,,2023-05-25,,
00050-00006305/2023-43,ENC,6º CPR,26º BPM,200,JUNINA,FESTA JUNINA,SANTA MARIA/DF - CANTEIRO CENTRAL - RESIDENCIAL TOTAL VILLE,Santa Maria,2023-06-24 19:00:00,2023-06-25 01:00:00,PUBA,,2023-05-24,,
00050-00006957/2023-88,ENC,6º CPR,9º BPM,150,JUNINA,FESTA JUNINA DE SÃO JOÃO BATISTA,GAMA - DF - PRAÇA 01 - SETOR SUL,Gama,2023-06-24 19:00:00,2023-06-24 23:59:00,PUBA,,2023-06-06,,
00050-00005543/2023-31,ENC,6º CPR,9º BPM,2000,JUNINA/ESCOLA,BLUE SCHOOL - JUNE FEST,"GAMA-DF, ESTACIONAMENTO DO ESTÁDIO BEZERRÃO",Gama,2023-06-24 20:00:00,2023-06-25 03:00:00,PUBA,,2023-05-11,,
00050-00006305/2023-43,ENC,6º CPR,26º BPM,200,JUNINA,FESTA JUNINA,SANTA MARIA/DF - CANTEIRO CENTRAL - RESIDENCIAL TOTAL VILLE,Santa Maria,2023-06-25 19:00:00,2023-06-26 01:00:00,PUBA,,2023-05-24,,
00050-00006957/2023-88,ENC,6º CPR,9º BPM,150,JUNINA,FESTA JUNINA DE SÃO JOÃO BATISTA,GAMA - DF - PRAÇA 01 - SETOR SUL,Gama,2023-06-25 19:00:00,2023-06-25 23:59:00,PUBA,,2023-06-06,,
